id,opened,symbol,strategy,expiry,legs_json,net_credit,max_loss,qty,status,settle_spot,pnl_gross,fees,pnl_net,closed,context
BTC-cheap_strangle-20260807105234,2026-08-07T10:52:34.809734,BTC,cheap_strangle,2026-08-07,"[{""type"": ""call"", ""strike"": 65200.0, ""side"": 1, ""entry_premium"": 15.26823258, ""symbol"": ""C-BTC-65200-070826""}, {""type"": ""put"", ""strike"": 64500.0, ""side"": 1, ""entry_premium"": 9.13537261, ""symbol"": ""P-BTC-64500-070826""}]",-0.0244,0.0244,4100,settled,64894.9,-0.0244,0.001,-0.0254,2026-08-07,"{""entry_spot"": 64894.9, ""entry_iv"": 9.2, ""qty"": 4100, ""pop"": 0.209, ""why"": ""cheap strangle: \u00b1400 premiums \u2264 100"", ""expiry_type"": ""daily"", ""net_delta"": 0.0, ""net_theta"": -1.053, ""net_vega"": 0.0026, ""net_gamma"": 0.0, ""bias"": ""Neutral"", ""pcr"": 1.06, ""max_pain"": 64800.0, ""skew"": 0.4, ""support"": 64600.0, ""resistance"": 69000.0}"
BTC-butterfly-20260807105235,2026-08-07T10:52:35.453760,BTC,butterfly,2026-08-07,"[{""type"": ""call"", ""strike"": 65000.0, ""side"": 1, ""entry_premium"": 30.62307372, ""symbol"": ""C-BTC-65000-070826""}, {""type"": ""call"", ""strike"": 65400.0, ""side"": -1, ""entry_premium"": 1.30060387, ""symbol"": ""C-BTC-65400-070826""}, {""type"": ""call"", ""strike"": 65400.0, ""side"": -1, ""entry_premium"": 1.30060387, ""symbol"": ""C-BTC-65400-070826""}, {""type"": ""call"", ""strike"": 66000.0, ""side"": 1, ""entry_premium"": 0.1, ""symbol"": ""C-BTC-66000-070826""}]",-0.0281,0.2281,440,settled,64894.9,-0.0281,0.0014,-0.0295,2026-08-07,"{""entry_spot"": 64894.9, ""entry_iv"": 9.2, ""qty"": 440, ""pop"": 0.279, ""why"": ""butterfly pin \u00b7 R:R 1.6 \u00b7 1.1h to expiry"", ""expiry_type"": ""daily"", ""net_delta"": 0.0002, ""net_theta"": -0.422, ""net_vega"": 0.0018, ""net_gamma"": 0.0, ""bias"": ""Neutral"", ""pcr"": 1.06, ""max_pain"": 64800.0, ""skew"": 0.4, ""support"": 64600.0, ""resistance"": 69000.0, ""rr"": 1.63}"
ETH-long_strangle-20260807105236,2026-08-07T10:52:36.395379,ETH,long_strangle,2026-08-07,"[{""type"": ""call"", ""strike"": 1920.0, ""side"": 1, ""entry_premium"": 1.73040988, ""symbol"": ""C-ETH-1920-070826""}, {""type"": ""put"", ""strike"": 1910.0, ""side"": 1, ""entry_premium"": 2.43010691, ""symbol"": ""P-ETH-1910-070826""}]",-0.0416,0.0416,2400,settled,1913.22,-0.0416,0.0017,-0.0433,2026-08-07,"{""entry_spot"": 1913.22, ""entry_iv"": 15.25, ""qty"": 2400, ""pop"": 0.599, ""why"": ""major event ahead \u2014 long vol into the move"", ""expiry_type"": ""daily"", ""net_delta"": -0.0007, ""net_theta"": -0.7128, ""net_vega"": 0.0015, ""net_gamma"": 0.00072, ""bias"": ""Neutral"", ""pcr"": 0.91, ""max_pain"": 1910.0, ""skew"": -2.0, ""support"": 1900.0, ""resistance"": 2200.0}"
ETH-butterfly-20260807105237,2026-08-07T10:52:37.050936,ETH,butterfly,2026-08-07,"[{""type"": ""call"", ""strike"": 1840.0, ""side"": 1, ""entry_premium"": 73.22000007, ""symbol"": ""C-ETH-1840-070826""}, {""type"": ""call"", ""strike"": 1880.0, ""side"": -1, ""entry_premium"": 33.22029478, ""symbol"": ""C-ETH-1880-070826""}, {""type"": ""call"", ""strike"": 1880.0, ""side"": -1, ""entry_premium"": 33.22029478, ""symbol"": ""C-ETH-1880-070826""}, {""type"": ""call"", ""strike"": 1930.0, ""side"": 1, ""entry_premium"": 0.43638616, ""symbol"": ""C-ETH-1930-070826""}]",-0.0722,0.1722,580,settled,1913.22,-0.0044,0.1155,-0.1199,2026-08-07,"{""entry_spot"": 1913.22, ""entry_iv"": 15.25, ""qty"": 580, ""pop"": 1.0, ""why"": ""butterfly pin \u00b7 R:R 1.9 \u00b7 1.1h to expiry"", ""expiry_type"": ""daily"", ""net_delta"": -0.009, ""net_theta"": -0.1815, ""net_vega"": 0.0003, ""net_gamma"": 0.00012, ""bias"": ""Neutral"", ""pcr"": 0.91, ""max_pain"": 1910.0, ""skew"": -2.0, ""support"": 1900.0, ""resistance"": 2200.0, ""rr"": 1.9}"
BTC-cheap_strangle-20260807164931,2026-08-07T16:49:31.580309,BTC,cheap_strangle,2026-08-08,"[{""type"": ""call"", ""strike"": 65400.0, ""side"": 1, ""entry_premium"": 58.3827741, ""symbol"": ""C-BTC-65400-080826""}, {""type"": ""put"", ""strike"": 64600.0, ""side"": 1, ""entry_premium"": 88.36754738, ""symbol"": ""P-BTC-64600-080826""}]",-0.1468,0.1468,680,settled,64956.2,-0.1468,0.0061,-0.1528,2026-08-08,"{""entry_spot"": 64920.1, ""entry_iv"": 15.8, ""qty"": 680, ""pop"": 0.464, ""why"": ""cheap strangle: \u00b1400 premiums \u2264 100"", ""expiry_type"": ""daily"", ""net_delta"": -0.0001, ""net_theta"": -0.2041, ""net_vega"": 0.0184, ""net_gamma"": 0.0, ""bias"": ""Slightly Bearish"", ""pcr"": 1.26, ""max_pain"": 65000.0, ""skew"": 0.0, ""support"": 64600.0, ""resistance"": 66800.0}"
BTC-cheap_strangle-20260808030114,2026-08-08T03:01:14.648419,BTC,cheap_strangle,2026-08-08,"[{""type"": ""call"", ""strike"": 65400.0, ""side"": 1, ""entry_premium"": 10.00325193, ""symbol"": ""C-BTC-65400-080826""}, {""type"": ""put"", ""strike"": 64600.0, ""side"": 1, ""entry_premium"": 26.90898123, ""symbol"": ""P-BTC-64600-080826""}]",-0.0369,0.0369,2710,settled,64923.4,-0.0369,0.0015,-0.0384,2026-08-08,"{""entry_spot"": 64923.4, ""entry_iv"": 16.1, ""qty"": 2710, ""pop"": 0.229, ""why"": ""cheap strangle: \u00b1400 premiums \u2264 100"", ""expiry_type"": ""daily"", ""net_delta"": -0.0001, ""net_theta"": -0.1626, ""net_vega"": 0.0078, ""net_gamma"": 0.0, ""bias"": ""Neutral"", ""pcr"": 1.07, ""max_pain"": 64800.0, ""skew"": -2.9, ""support"": 64400.0, ""resistance"": 66400.0}"
BTC-cheap_strangle-20260808042022,2026-08-08T04:20:22.286671,BTC,cheap_strangle,2026-08-08,"[{""type"": ""call"", ""strike"": 65400.0, ""side"": 1, ""entry_premium"": 10.64563922, ""symbol"": ""C-BTC-65400-080826""}, {""type"": ""put"", ""strike"": 64600.0, ""side"": 1, ""entry_premium"": 23.17758341, ""symbol"": ""P-BTC-64600-080826""}]",-0.0338,0.0338,2960,settled,64983.1,-0.0338,0.0014,-0.0352,2026-08-08,"{""entry_spot"": 64983.1, ""entry_iv"": 14.6, ""qty"": 2960, ""pop"": 0.208, ""why"": ""cheap strangle: \u00b1400 premiums \u2264 100"", ""expiry_type"": ""daily"", ""net_delta"": -0.0, ""net_theta"": -0.18, ""net_vega"": 0.0069, ""net_gamma"": 0.0, ""bias"": ""Neutral"", ""pcr"": 1.08, ""max_pain"": 65000.0, ""skew"": -0.8, ""support"": 64400.0, ""resistance"": 66000.0}"
BTC-cheap_strangle-20260808051508,2026-08-08T05:15:08.444013,BTC,cheap_strangle,2026-08-08,"[{""type"": ""call"", ""strike"": 65400.0, ""side"": 1, ""entry_premium"": 11.06638962, ""symbol"": ""C-BTC-65400-080826""}, {""type"": ""put"", ""strike"": 64600.0, ""side"": 1, ""entry_premium"": 19.80840482, ""symbol"": ""P-BTC-64600-080826""}]",-0.0309,0.0309,3240,settled,64993.6,-0.0309,0.0013,-0.0321,2026-08-08,"{""entry_spot"": 64993.6, ""entry_iv"": 13.85, ""qty"": 3240, ""pop"": 0.203, ""why"": ""cheap strangle: \u00b1400 premiums \u2264 100"", ""expiry_type"": ""daily"", ""net_delta"": -0.0, ""net_theta"": -0.1992, ""net_vega"": 0.0064, ""net_gamma"": 0.0, ""bias"": ""Neutral"", ""pcr"": 1.04, ""max_pain"": 65000.0, ""skew"": -0.6, ""support"": 64400.0, ""resistance"": 66000.0}"
BTC-cheap_strangle-20260808055925,2026-08-08T05:59:25.455706,BTC,cheap_strangle,2026-08-08,"[{""type"": ""call"", ""strike"": 65400.0, ""side"": 1, ""entry_premium"": 11.96696746, ""symbol"": ""C-BTC-65400-080826""}, {""type"": ""put"", ""strike"": 64600.0, ""side"": 1, ""entry_premium"": 18.95619737, ""symbol"": ""P-BTC-64600-080826""}]",-0.0309,0.0309,3230,settled,64991.0,-0.0309,0.0013,-0.0322,2026-08-08,"{""entry_spot"": 64991.0, ""entry_iv"": 12.75, ""qty"": 3230, ""pop"": 0.204, ""why"": ""cheap strangle: \u00b1400 premiums \u2264 100"", ""expiry_type"": ""daily"", ""net_delta"": -0.0, ""net_theta"": -0.2245, ""net_vega"": 0.006, ""net_gamma"": 0.0, ""bias"": ""Neutral"", ""pcr"": 1.04, ""max_pain"": 65000.0, ""skew"": -0.7, ""support"": 64400.0, ""resistance"": 66000.0}"
BTC-cheap_strangle-20260808070416,2026-08-08T07:04:16.083035,BTC,cheap_strangle,2026-08-08,"[{""type"": ""call"", ""strike"": 65400.0, ""side"": 1, ""entry_premium"": 18.9223704, ""symbol"": ""C-BTC-65400-080826""}, {""type"": ""put"", ""strike"": 64600.0, ""side"": 1, ""entry_premium"": 14.53583174, ""symbol"": ""P-BTC-64600-080826""}]",-0.0335,0.0335,2990,settled,65005.2,-0.0335,0.0014,-0.0348,2026-08-08,"{""entry_spot"": 65005.2, ""entry_iv"": 11.45, ""qty"": 2990, ""pop"": 0.215, ""why"": ""cheap strangle: \u00b1400 premiums \u2264 100"", ""expiry_type"": ""daily"", ""net_delta"": 0.0, ""net_theta"": -0.2908, ""net_vega"": 0.0057, ""net_gamma"": 0.0, ""bias"": ""Neutral"", ""pcr"": 1.04, ""max_pain"": 65000.0, ""skew"": -0.2, ""support"": 64400.0, ""resistance"": 65800.0}"
