day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
D0238,BTC,iron_condor,128665.94,124033.17,-234.66,66.15,-300.81
D0239,BTC,iron_condor,124033.17,120980.49,492.02,34.82,457.2
D0240,BTC,iron_condor,120980.49,116606.02,-1298.74,63.32,-1362.06
D0241,BTC,iron_condor,116606.02,118927.52,382.31,20.88,361.44
D0242,BTC,iron_condor,118927.52,110542.82,-1974.31,101.25,-2075.56
D0243,BTC,iron_condor,110542.82,109337.89,424.0,28.35,395.65
D0244,BTC,iron_condor,109337.89,110838.98,417.76,27.76,389.99
D0245,BTC,iron_condor,110838.98,116208.36,-1443.89,70.52,-1514.41
D0246,BTC,iron_condor,116208.36,116411.45,481.53,37.05,444.48
D0247,BTC,iron_condor,116411.45,120071.03,476.11,35.68,440.43
D0248,BTC,long_strangle,120071.03,118517.36,-1312.9,54.22,-1367.12
D0249,BTC,iron_condor,118517.36,115721.67,491.24,37.82,453.42
D0250,BTC,iron_condor,115721.67,113240.65,479.32,36.85,442.47
D0251,BTC,iron_condor,113240.65,118746.23,-1070.58,76.42,-1147.0
D0252,BTC,long_strangle,118746.23,122452.04,-707.73,79.04,-786.77
D0253,BTC,iron_condor,122452.04,124279.53,451.38,28.41,422.97
D0254,BTC,iron_condor,124279.53,137913.77,-2037.14,125.1,-2162.24
D0255,BTC,long_strangle,137913.77,137705.84,-1616.54,66.76,-1683.31
D0256,BTC,long_strangle,137705.84,140345.75,-1594.13,65.84,-1659.97
D0257,BTC,long_strangle,140345.75,141638.2,-1609.16,66.46,-1675.62
D0258,BTC,long_strangle,141638.2,140585.29,-1617.54,66.8,-1684.34
D0259,BTC,long_strangle,140585.29,151118.09,5185.25,119.03,5066.21
D0260,BTC,long_strangle,151118.09,158362.07,1395.95,127.72,1268.23
D0261,BTC,iron_condor,158362.07,151477.88,-956.96,103.4,-1060.36
D0262,BTC,long_strangle,151477.88,149513.86,-1903.75,78.62,-1982.37
D0263,BTC,long_strangle,149513.86,151464.01,-1946.58,80.39,-2026.97
D0264,BTC,long_strangle,151464.01,155159.11,-1973.41,81.5,-2054.91
D0265,BTC,iron_condor,155159.11,148652.2,-1078.82,96.9,-1175.71
D0266,BTC,long_strangle,148652.2,138418.17,5106.39,116.05,4990.34
D0267,BTC,long_strangle,138418.17,130309.96,2407.3,121.04,2286.26
D0268,BTC,long_strangle,130309.96,129955.16,-1844.14,76.16,-1920.3
D0269,BTC,long_strangle,129955.16,129470.77,-1840.2,76.0,-1916.2
D0270,BTC,long_strangle,129470.77,130817.57,-1484.38,61.3,-1545.68
D0271,BTC,iron_condor,130817.57,127630.41,528.34,38.66,489.68
D0272,BTC,iron_condor,127630.41,122755.89,-437.56,75.11,-512.68
D0273,BTC,iron_condor,122755.89,115142.45,-1962.24,117.17,-2079.41
D0274,BTC,iron_condor,115142.45,116281.64,465.46,34.12,431.34
D0275,BTC,iron_condor,116281.64,117582.91,455.27,31.49,423.78
D0276,BTC,iron_condor,117582.91,121247.75,473.51,34.45,439.07
D0277,BTC,iron_condor,121247.75,124235.39,483.58,34.56,449.02
D0278,BTC,iron_condor,124235.39,123432.62,474.68,31.54,443.14
D0279,BTC,iron_condor,123432.62,128711.88,-1045.37,76.89,-1122.25
D0280,BTC,iron_condor,128711.88,128098.64,519.14,37.89,481.25
D0281,BTC,iron_condor,128098.64,125405.64,515.18,37.39,477.78
D0282,BTC,iron_condor,125405.64,123311.22,502.69,36.26,466.43
D0283,BTC,iron_condor,123311.22,121007.44,478.68,32.66,446.03
D0284,BTC,iron_condor,121007.44,112994.93,-2028.25,101.12,-2129.37
