ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-09-15T20:03:07.907065,ETH,put,2720.0,2026-09-16,305.6,305.6,98.4,-1.0,0.0,-0.0,0.0,0.02,,,,2414.42,P-ETH-2720-160926
2026-09-15T20:03:07.907065,ETH,put,2680.0,2026-09-16,265.6,265.6,87.5,-1.0,0.0,-0.0,0.0,0.0,,,,2414.42,P-ETH-2680-160926
2026-09-15T20:03:07.907065,ETH,put,2660.0,2026-09-16,245.6,245.6,82.0,-1.0,0.0,-0.0,0.0,0.0,,,,2414.42,P-ETH-2660-160926
2026-09-15T20:03:07.907065,ETH,put,2640.0,2026-09-16,225.6,225.6,76.4,-1.0,0.0,-0.0,0.0,0.2,,,,2414.42,P-ETH-2640-160926
2026-09-15T20:03:07.907065,ETH,put,2620.0,2026-09-16,205.6,205.6,70.7,-1.0,0.0,-0.0,0.0,1.0,,,,2414.42,P-ETH-2620-160926
2026-09-15T20:03:07.907065,ETH,put,2600.0,2026-09-16,185.6,185.6,64.9,-1.0,0.0,-0.0,0.0,8.41,,,,2414.42,P-ETH-2600-160926
2026-09-15T20:03:07.907065,ETH,put,2580.0,2026-09-16,165.6,165.6,59.0,-1.0,0.0,-0.0,0.0,14.04,,,,2414.42,P-ETH-2580-160926
2026-09-15T20:03:07.907065,ETH,put,2560.0,2026-09-16,145.60000005,145.60000005,53.0,-0.99850851,0.00010265,-0.17269894,0.00500217,6.52,,,,2414.42,P-ETH-2560-160926
2026-09-15T20:03:07.907065,ETH,put,2540.0,2026-09-16,125.7291655,125.7291655,48.8,-0.9868147,0.0006199,-1.39358682,0.03492009,23.33,,,,2414.42,P-ETH-2540-160926
2026-09-15T20:03:07.907065,ETH,put,2530.0,2026-09-16,116.00717103,116.00717103,48.8,-0.98187695,0.00083015,-1.79673508,0.04587287,0.0,,,,2414.42,P-ETH-2530-160926
2026-09-15T20:03:07.907065,ETH,put,2520.0,2026-09-16,106.21718246,106.21718246,47.2,-0.96920239,0.00127051,-2.86314414,0.07165671,48.36,,,,2414.42,P-ETH-2520-160926
2026-09-15T20:03:07.907065,ETH,put,2510.0,2026-09-16,96.59255475,96.59255475,46.5,-0.94898907,0.00185117,-4.46278188,0.1079916,0.0,,,,2414.42,P-ETH-2510-160926
2026-09-15T20:03:07.907065,ETH,put,2500.0,2026-09-16,87.14598236,87.14598236,46.0,-0.93643178,0.00227677,-5.13163083,0.12838738,93.82,,,,2414.42,P-ETH-2500-160926
2026-09-15T20:03:07.907065,ETH,put,2490.0,2026-09-16,77.81387623,77.81387623,45.1,-0.91024367,0.00296808,-6.65699529,0.16700943,10.01,,,,2414.42,P-ETH-2490-160926
2026-09-15T20:03:07.907065,ETH,put,2480.0,2026-09-16,68.68270319,68.68270319,44.2,-0.87996267,0.00369246,-8.15658013,0.20617991,147.42,,,,2414.42,P-ETH-2480-160926
2026-09-15T20:03:07.907065,ETH,put,2470.0,2026-09-16,59.8604562,59.8604562,43.5,-0.84497344,0.00445214,-9.5972368,0.24552701,12.82,,,,2414.42,P-ETH-2470-160926
2026-09-15T20:03:07.907065,ETH,put,2460.0,2026-09-16,51.54789325,51.54789325,43.1,-0.79789039,0.00531995,-11.22379592,0.29031276,15.54,,,,2414.42,P-ETH-2460-160926
2026-09-15T20:03:07.907065,ETH,put,2450.0,2026-09-16,43.61192974,43.61192974,42.6,-0.74170839,0.00611671,-12.85274274,0.3331098,24.16,,,,2414.42,P-ETH-2450-160926
2026-09-15T20:03:07.907065,ETH,put,2440.0,2026-09-16,36.28525631,36.28525631,42.2,-0.67774386,0.00679761,-14.23606897,0.36960438,155.72,,,,2414.42,P-ETH-2440-160926
2026-09-15T20:03:07.907065,ETH,put,2430.0,2026-09-16,29.6179427,29.6179427,41.9,-0.61260547,0.00733127,-15.04878912,0.39453207,47.95,,,,2414.42,P-ETH-2430-160926
2026-09-15T20:03:07.907065,ETH,put,2420.0,2026-09-16,23.73070959,23.73070959,41.7,-0.53817732,0.00762454,-15.56072759,0.4091324,241.1,,,,2414.42,P-ETH-2420-160926
2026-09-15T20:03:07.907065,ETH,put,2410.0,2026-09-16,18.6254148,18.6254148,41.6,-0.45806844,0.00761343,-15.55355361,0.40882823,122.17,,,,2414.42,P-ETH-2410-160926
2026-09-15T20:03:07.907065,ETH,put,2400.0,2026-09-16,14.44296407,14.44296407,41.8,-0.38347087,0.00729924,-15.02448971,0.39343148,1312.86,,,,2414.42,P-ETH-2400-160926
2026-09-15T20:03:07.907065,ETH,put,2390.0,2026-09-16,10.94966744,10.94966744,42.0,-0.31474024,0.00676173,-14.0306767,0.36589277,367.05,,,,2414.42,P-ETH-2390-160926
2026-09-15T20:03:07.907065,ETH,put,2380.0,2026-09-16,8.23006522,8.23006522,42.5,-0.25143128,0.00597977,-12.78153278,0.32844927,748.85,,,,2414.42,P-ETH-2380-160926
2026-09-15T20:03:07.907065,ETH,put,2370.0,2026-09-16,6.09772568,6.09772568,43.0,-0.19855379,0.0051506,-11.34820641,0.28722968,219.93,,,,2414.42,P-ETH-2370-160926
