ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-09-20T21:35:47.685928,BTC,put,83600.0,2026-09-21,2687.82841124,2687.82841124,35.1,-0.97861661,3.956e-05,-55.28126942,1.68152193,0.103,,,,80922.2,P-BTC-83600-210926
2026-09-20T21:35:47.685928,BTC,put,83200.0,2026-09-21,2304.781195,2304.781195,34.5,-0.95137122,7.484e-05,-113.26111089,3.31010972,0.469,,,,80922.2,P-BTC-83200-210926
2026-09-20T21:35:47.685928,BTC,put,82800.0,2026-09-21,1918.82682872,1918.82682872,32.0,-0.92672599,0.00010935,-147.31165046,4.56330717,0.085,,,,80922.2,P-BTC-82800-210926
2026-09-20T21:35:47.685928,BTC,put,82600.0,2026-09-21,1731.1997527,1731.1997527,31.1,-0.90745514,0.00013308,-172.02672004,5.44033079,0.018,,,,80922.2,P-BTC-82600-210926
2026-09-20T21:35:47.685928,BTC,put,82400.0,2026-09-21,1545.14539871,1545.14539871,30.0,-0.88544704,0.00015994,-195.14581788,6.35189442,2.246,,,,80922.2,P-BTC-82400-210926
2026-09-20T21:35:47.685928,BTC,put,82200.0,2026-09-21,1361.13158133,1361.13158133,28.8,-0.85936812,0.00019103,-217.35499045,7.32637256,1.412,,,,80922.2,P-BTC-82200-210926
2026-09-20T21:35:47.685928,BTC,put,82000.0,2026-09-21,1181.86400186,1181.86400186,27.6,-0.82698141,0.00022687,-240.46899395,8.39802724,5.578,,,,80922.2,P-BTC-82000-210926
2026-09-20T21:35:47.685928,BTC,put,81800.0,2026-09-21,1009.51258652,1009.51258652,26.6,-0.78624519,0.00026693,-264.64320893,9.55599019,2.32,,,,80922.2,P-BTC-81800-210926
2026-09-20T21:35:47.685928,BTC,put,81600.0,2026-09-21,847.25226958,847.25226958,25.8,-0.73555413,0.00030847,-289.09827599,10.73722751,1.402,,,,80922.2,P-BTC-81600-210926
2026-09-20T21:35:47.685928,BTC,put,81400.0,2026-09-21,694.92109514,694.92109514,24.9,-0.67562306,0.00034859,-309.06977,11.80139618,6.753,,,,80922.2,P-BTC-81400-210926
2026-09-20T21:35:47.685928,BTC,put,81200.0,2026-09-21,556.20703647,556.20703647,24.3,-0.60623834,0.00038252,-322.31395724,12.62442911,117.237,,,,80922.2,P-BTC-81200-210926
2026-09-20T21:35:47.685928,BTC,put,81000.0,2026-09-21,433.014833,433.014833,23.7,-0.52897486,0.00040412,-326.32750809,13.05727896,43.054,,,,80922.2,P-BTC-81000-210926
2026-09-20T21:35:47.685928,BTC,put,80800.0,2026-09-21,329.58321109,329.58321109,23.3,-0.44747358,0.00040729,-319.88080351,12.97804166,38.315,,,,80922.2,P-BTC-80800-210926
2026-09-20T21:35:47.685928,BTC,put,80600.0,2026-09-21,246.54978432,246.54978432,23.2,-0.36741431,0.0003881,-304.57221746,12.36196656,65.232,,,,80922.2,P-BTC-80600-210926
2026-09-20T21:35:47.685928,BTC,put,80400.0,2026-09-21,184.91102603,184.91102603,23.5,-0.29516735,0.00035058,-283.01228762,11.32571438,74.157,,,,80922.2,P-BTC-80400-210926
