ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-09-05T04:25:21.952757,ETH,put,2640.0,2026-09-05,187.84,187.84,109.8,-1.0,0.0,-0.0,0.0,0.25,,,,2452.17,P-ETH-2640-050926
2026-09-05T04:25:21.952757,ETH,put,2620.0,2026-09-05,167.84,167.84,99.6,-1.0,0.0,-0.0,0.0,4.0,,,,2452.17,P-ETH-2620-050926
2026-09-05T04:25:21.952757,ETH,put,2600.0,2026-09-05,147.84,147.84,89.3,-1.0,0.0,-0.0,0.0,1.2,,,,2452.17,P-ETH-2600-050926
2026-09-05T04:25:21.952757,ETH,put,2580.0,2026-09-05,127.83,127.83,77.9,-1.0,0.0,-0.0,0.0,3.27,,,,2452.17,P-ETH-2580-050926
2026-09-05T04:25:21.952757,ETH,put,2570.0,2026-09-05,117.83,117.83,72.6,-1.0,0.0,-0.0,0.0,0.02,,,,2452.17,P-ETH-2570-050926
2026-09-05T04:25:21.952757,ETH,put,2560.0,2026-09-05,107.83,107.83,67.2,-1.0,0.0,-0.0,0.0,130.0,,,,2452.17,P-ETH-2560-050926
2026-09-05T04:25:21.952757,ETH,put,2550.0,2026-09-05,97.83,97.83,61.8,-1.0,0.0,-0.0,0.0,1.0,,,,2452.17,P-ETH-2550-050926
2026-09-05T04:25:21.952757,ETH,put,2540.0,2026-09-05,87.84,87.84,56.9,-1.0,0.0,-0.0,0.0,2.01,,,,2452.17,P-ETH-2540-050926
2026-09-05T04:25:21.952757,ETH,put,2530.0,2026-09-05,77.84,77.84,51.3,-1.0,0.0,-0.0,0.0,2.56,,,,2452.17,P-ETH-2530-050926
2026-09-05T04:25:21.952757,ETH,put,2520.0,2026-09-05,67.84,67.84,45.6,-1.0,0.0,-0.0,0.0,82.99,,,,2452.17,P-ETH-2520-050926
2026-09-05T04:25:21.952757,ETH,put,2510.0,2026-09-05,57.83,57.83,39.2,-1.0,0.0,-0.0,0.0,2.8,,,,2452.17,P-ETH-2510-050926
2026-09-05T04:25:21.952757,ETH,put,2500.0,2026-09-05,47.83,47.83,33.3,-0.9963085,0.00062436,-0.30817319,0.00795255,45.01,,,,2452.17,P-ETH-2500-050926
