ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-08-11T19:03:51.884487,BTC,put,66800.0,2026-08-12,3429.4,3429.4,48.1,-1.0,0.0,-0.0,0.0,18.154,,,,63370.6,P-BTC-66800-120826
2026-08-11T19:03:51.884487,BTC,put,66400.0,2026-08-12,3029.4,3029.4,43.4,-1.0,0.0,-0.0,0.0,0.281,,,,63370.6,P-BTC-66400-120826
2026-08-11T19:03:51.884487,BTC,put,66200.0,2026-08-12,2829.4,2829.4,41.0,-1.0,0.0,-0.0,0.0,0.015,,,,63370.6,P-BTC-66200-120826
2026-08-11T19:03:51.884487,BTC,put,66000.0,2026-08-12,2629.4,2629.4,38.5,-1.0,0.0,-0.0,0.0,2.128,,,,63370.6,P-BTC-66000-120826
2026-08-11T19:03:51.884487,BTC,put,65800.0,2026-08-12,2429.4,2429.4,36.1,-1.0,0.0,-0.0,0.0,0.264,,,,63370.6,P-BTC-65800-120826
2026-08-11T19:03:51.884487,BTC,put,65600.0,2026-08-12,2229.4,2229.4,33.6,-1.0,0.0,-0.0,0.0,0.339,,,,63370.6,P-BTC-65600-120826
2026-08-11T19:03:51.884487,BTC,put,65400.0,2026-08-12,2029.4,2029.4,31.1,-1.0,0.0,-0.0,0.0,0.739,,,,63370.6,P-BTC-65400-120826
2026-08-11T19:03:51.884487,BTC,put,65200.0,2026-08-12,1829.4,1829.4,28.5,-1.0,0.0,-0.0,0.0,4.529,,,,63370.6,P-BTC-65200-120826
2026-08-11T19:03:51.884487,BTC,put,65000.0,2026-08-12,1631.20372123,1631.20372123,26.6,-0.99044517,3.738e-05,-12.43235522,0.7136985,10.511,,,,63370.6,P-BTC-65000-120826
2026-08-11T19:03:51.884487,BTC,put,64800.0,2026-08-12,1432.49865593,1432.49865593,24.4,-0.98583335,5.604e-05,-16.43233327,1.00463222,1.645,,,,63370.6,P-BTC-64800-120826
2026-08-11T19:03:51.884487,BTC,put,64600.0,2026-08-12,1234.42949392,1234.42949392,22.2,-0.97906792,8.429e-05,-21.28558509,1.40226243,9.903,,,,63370.6,P-BTC-64600-120826
