ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-08-17T21:21:14.453364,ETH,put,2000.0,2026-08-18,92.51,92.51,43.9,-1.0,0.0,-0.0,0.0,1.0,,,,1907.49,P-ETH-2000-180826
2026-08-17T21:21:14.453364,ETH,put,1980.0,2026-08-18,72.51,72.51,35.8,-1.0,0.0,-0.0,0.0,0.03,,,,1907.49,P-ETH-1980-180826
2026-08-17T21:21:14.453364,ETH,put,1960.0,2026-08-18,52.51,52.51,27.4,-1.0,0.0,-0.0,0.0,12.21,,,,1907.49,P-ETH-1960-180826
2026-08-17T21:21:14.453364,ETH,put,1950.0,2026-08-18,42.5764303,42.5764303,23.8,-0.98643194,0.0018296,-0.54021913,0.02709436,7.06,,,,1907.49,P-ETH-1950-180826
2026-08-17T21:21:14.453364,ETH,put,1940.0,2026-08-18,32.94083116,32.94083116,22.2,-0.94557067,0.00550879,-1.8100302,0.08606133,22.84,,,,1907.49,P-ETH-1940-180826
2026-08-17T21:21:14.453364,ETH,put,1930.0,2026-08-18,23.81227187,23.81227187,21.1,-0.86953618,0.01070271,-3.4423405,0.16541439,30.08,,,,1907.49,P-ETH-1930-180826
2026-08-17T21:21:14.453364,ETH,put,1920.0,2026-08-18,15.64824903,15.64824903,20.4,-0.73553458,0.01665768,-5.26541937,0.25522508,241.9,,,,1907.49,P-ETH-1920-180826
2026-08-17T21:21:14.453364,ETH,put,1910.0,2026-08-18,9.06548988,9.06548988,19.9,-0.54903973,0.02041671,-6.28936799,0.30883996,944.73,,,,1907.49,P-ETH-1910-180826
2026-08-17T21:21:14.453364,ETH,put,1900.0,2026-08-18,4.53755252,4.53755252,19.7,-0.34755378,0.01904401,-5.87129357,0.28817888,1844.17,,,,1907.49,P-ETH-1900-180826
2026-08-17T21:21:14.453364,ETH,put,1890.0,2026-08-18,1.94085167,1.94085167,19.7,-0.18252053,0.01355284,-4.2347729,0.2064749,839.49,,,,1907.49,P-ETH-1890-180826
