ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-08-30T18:38:05.918583,ETH,put,2640.0,2026-08-31,123.61586812,123.61586812,45.4,-0.99060093,0.00049612,-0.88768506,0.02829638,4.49,,,,2516.46,P-ETH-2640-310826
2026-08-30T18:38:05.918583,ETH,put,2600.0,2026-08-31,85.42221034,85.42221034,45.0,-0.91383904,0.00265832,-6.42253154,0.17619856,0.51,,,,2516.46,P-ETH-2600-310826
2026-08-30T18:38:05.918583,ETH,put,2580.0,2026-08-31,67.32308814,67.32308814,43.9,-0.86296736,0.00389931,-8.52513793,0.24584935,1.31,,,,2516.46,P-ETH-2580-310826
2026-08-30T18:38:05.918583,ETH,put,2570.0,2026-08-31,58.61798897,58.61798897,43.1,-0.82309037,0.00466571,-9.97554457,0.290932,0.4,,,,2516.46,P-ETH-2570-310826
2026-08-30T18:38:05.918583,ETH,put,2560.0,2026-08-31,50.3346534,50.3346534,42.5,-0.77499271,0.00542338,-11.4587467,0.33617712,4.55,,,,2516.46,P-ETH-2560-310826
2026-08-30T18:38:05.918583,ETH,put,2550.0,2026-08-31,42.50221384,42.50221384,41.8,-0.72265715,0.00618096,-12.54959864,0.37554831,14.67,,,,2516.46,P-ETH-2550-310826
2026-08-30T18:38:05.918583,ETH,put,2540.0,2026-08-31,35.31155586,35.31155586,41.4,-0.65853676,0.00679326,-13.69965728,0.41136647,18.39,,,,2516.46,P-ETH-2540-310826
2026-08-30T18:38:05.918583,ETH,put,2530.0,2026-08-31,28.78604119,28.78604119,41.0,-0.59273915,0.00724594,-14.36305234,0.43495078,21.15,,,,2516.46,P-ETH-2530-310826
2026-08-30T18:38:05.918583,ETH,put,2520.0,2026-08-31,23.05903811,23.05903811,40.8,-0.51956061,0.00747742,-14.670548,0.44654661,84.17,,,,2516.46,P-ETH-2520-310826
2026-08-30T18:38:05.918583,ETH,put,2510.0,2026-08-31,17.84474341,17.84474341,40.2,-0.44416827,0.00751797,-14.34103265,0.44269869,141.18,,,,2516.46,P-ETH-2510-310826
2026-08-30T18:38:05.918583,ETH,put,2500.0,2026-08-31,13.40089898,13.40089898,39.6,-0.36586425,0.00725621,-13.47403338,0.42162509,188.51,,,,2516.46,P-ETH-2500-310826
2026-08-30T18:38:05.918583,ETH,put,2490.0,2026-08-31,9.92802925,9.92802925,39.5,-0.29736375,0.0066853,-12.39369508,0.38810185,227.9,,,,2516.46,P-ETH-2490-310826
2026-08-30T18:38:05.918583,ETH,put,2480.0,2026-08-31,7.19877458,7.19877458,39.5,-0.23379994,0.00591435,-10.96944338,0.34341165,568.07,,,,2516.46,P-ETH-2480-310826
2026-08-30T18:38:05.918583,ETH,put,2470.0,2026-08-31,5.09961205,5.09961205,39.5,-0.17828555,0.00502997,-9.3445057,0.29230097,201.69,,,,2516.46,P-ETH-2470-310826
2026-08-30T18:38:05.918583,ETH,put,2460.0,2026-08-31,3.5598287,3.5598287,39.7,-0.13086715,0.00408062,-7.64709551,0.23820629,759.84,,,,2516.46,P-ETH-2460-310826
2026-08-30T18:38:05.918583,ETH,put,2450.0,2026-08-31,2.44332376,2.44332376,40.0,-0.09607445,0.00323173,-6.20903119,0.19103048,432.8,,,,2516.46,P-ETH-2450-310826
2026-08-30T18:38:05.918583,ETH,put,2440.0,2026-08-31,1.67376244,1.67376244,40.5,-0.06962327,0.00251405,-4.91337336,0.14985158,709.74,,,,2516.46,P-ETH-2440-310826
2026-08-30T18:38:05.918583,ETH,put,2430.0,2026-08-31,1.14552654,1.14552654,41.1,-0.05032728,0.00191328,-3.88131867,0.11618506,398.9,,,,2516.46,P-ETH-2430-310826
2026-08-30T18:38:05.918583,ETH,put,2420.0,2026-08-31,0.78649651,0.78649651,41.8,-0.0360524,0.00142955,-3.02917627,0.08873458,848.26,,,,2516.46,P-ETH-2420-310826
2026-08-30T18:38:05.918583,ETH,put,2410.0,2026-08-31,0.55002229,0.55002229,42.8,-0.02554562,0.00105554,-2.31821145,0.06669918,237.02,,,,2516.46,P-ETH-2410-310826
2026-08-30T18:38:05.918583,ETH,put,2400.0,2026-08-31,0.38151298,0.38151298,43.6,-0.018804,0.00079308,-1.83910318,0.05149564,1429.28,,,,2516.46,P-ETH-2400-310826
2026-08-30T18:38:05.918583,ETH,put,2380.0,2026-08-31,0.17007934,0.17007934,45.0,-0.00792459,0.00037015,-0.88197027,0.02436436,3253.44,,,,2516.46,P-ETH-2380-310826
2026-08-30T18:38:05.918583,ETH,put,2360.0,2026-08-31,0.09992154,0.09992154,47.9,-0.00517148,0.00023443,-0.65431718,0.01670032,1222.3,,,,2516.46,P-ETH-2360-310826
