ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-08-20T12:38:02.604375,BTC,put,74800.0,2026-08-21,3177.59584563,3177.59584563,73.2,-0.85639794,8.377e-05,-314.32482625,8.39862906,0.231,,,,71819.5,P-BTC-74800-210826
2026-08-20T12:38:02.604375,BTC,put,74400.0,2026-08-21,2819.23162376,2819.23162376,71.0,-0.82882545,9.673e-05,-342.96148178,9.42723021,0.06,,,,71819.5,P-BTC-74400-210826
2026-08-20T12:38:02.604375,BTC,put,74000.0,2026-08-21,2466.58598173,2466.58598173,68.5,-0.79687785,0.00011118,-368.78960755,10.48047125,1.13,,,,71819.5,P-BTC-74000-210826
2026-08-20T12:38:02.604375,BTC,put,73600.0,2026-08-21,2124.99358527,2124.99358527,66.0,-0.75981054,0.00012721,-390.44911071,11.53517461,0.003,,,,71819.5,P-BTC-73600-210826
2026-08-20T12:38:02.604375,BTC,put,73400.0,2026-08-21,1957.22992922,1957.22992922,64.6,-0.73819533,0.00013562,-401.23074347,12.07358908,0.001,,,,71819.5,P-BTC-73400-210826
2026-08-20T12:38:02.604375,BTC,put,73200.0,2026-08-21,1796.5460572,1796.5460572,63.5,-0.714409,0.00014402,-411.77088927,12.60466342,0.18,,,,71819.5,P-BTC-73200-210826
2026-08-20T12:38:02.604375,BTC,put,73000.0,2026-08-21,1638.30491664,1638.30491664,62.2,-0.68657698,0.00015209,-424.25602443,13.14864917,1.171,,,,71819.5,P-BTC-73000-210826
2026-08-20T12:38:02.604375,BTC,put,72800.0,2026-08-21,1486.81470508,1486.81470508,61.1,-0.66104451,0.00016068,-428.04691664,13.57403559,0.3,,,,71819.5,P-BTC-72800-210826
2026-08-20T12:38:02.604375,BTC,put,72600.0,2026-08-21,1342.25374238,1342.25374238,60.1,-0.63090142,0.00016823,-434.46655443,13.99287207,1.009,,,,71819.5,P-BTC-72600-210826
2026-08-20T12:38:02.604375,BTC,put,72400.0,2026-08-21,1206.12843161,1206.12843161,59.3,-0.59847554,0.00017476,-439.47104059,14.3434732,2.97,,,,71819.5,P-BTC-72400-210826
2026-08-20T12:38:02.604375,BTC,put,72200.0,2026-08-21,1076.43105404,1076.43105404,58.5,-0.56436457,0.00018018,-441.84500805,14.60358175,8.766,,,,71819.5,P-BTC-72200-210826
2026-08-20T12:38:02.604375,BTC,put,72000.0,2026-08-21,952.81895468,952.81895468,57.7,-0.52883466,0.0001847,-440.18048627,14.75800101,8.83,,,,71819.5,P-BTC-72000-210826
2026-08-20T12:38:02.604375,BTC,put,71800.0,2026-08-21,834.0062384,834.0062384,56.7,-0.49193036,0.00018823,-434.03809146,14.79355207,24.035,,,,71819.5,P-BTC-71800-210826
2026-08-20T12:38:02.604375,BTC,put,71600.0,2026-08-21,722.67064349,722.67064349,55.6,-0.45368431,0.00019039,-423.49865328,14.69694563,5.115,,,,71819.5,P-BTC-71600-210826
2026-08-20T12:38:02.604375,BTC,put,71400.0,2026-08-21,622.93479212,622.93479212,54.9,-0.41467095,0.00019005,-410.51403493,14.45698832,6.697,,,,71819.5,P-BTC-71400-210826
2026-08-20T12:38:02.604375,BTC,put,71200.0,2026-08-21,534.53145877,534.53145877,54.3,-0.37570426,0.00018696,-395.42322525,14.07246901,5.764,,,,71819.5,P-BTC-71200-210826
2026-08-20T12:38:02.604375,BTC,put,71000.0,2026-08-21,455.24346734,455.24346734,53.9,-0.33589148,0.00018119,-376.95777947,13.52775909,19.186,,,,71819.5,P-BTC-71000-210826
2026-08-20T12:38:02.604375,BTC,put,70800.0,2026-08-21,385.42128992,385.42128992,53.5,-0.29891682,0.00017356,-356.52643889,12.87603529,7.816,,,,71819.5,P-BTC-70800-210826
2026-08-20T12:38:02.604375,BTC,put,70600.0,2026-08-21,324.41360462,324.41360462,53.3,-0.26525741,0.00016449,-335.25724313,12.15457156,14.1,,,,71819.5,P-BTC-70600-210826
2026-08-20T12:38:02.604375,BTC,put,70400.0,2026-08-21,273.2405728,273.2405728,53.3,-0.23304849,0.0001534,-313.22099306,11.34520531,4.67,,,,71819.5,P-BTC-70400-210826
2026-08-20T12:38:02.604375,BTC,put,70200.0,2026-08-21,230.42865468,230.42865468,53.5,-0.20309255,0.00014083,-291.10732642,10.48070832,4.088,,,,71819.5,P-BTC-70200-210826
2026-08-20T12:38:02.604375,BTC,put,70000.0,2026-08-21,193.88128537,193.88128537,53.8,-0.17738613,0.00012914,-268.79662118,9.64323807,39.79,,,,71819.5,P-BTC-70000-210826
2026-08-20T12:38:02.604375,BTC,put,69800.0,2026-08-21,161.5775199,161.5775199,53.9,-0.15241786,0.0001164,-244.99625121,8.7411869,11.954,,,,71819.5,P-BTC-69800-210826
2026-08-20T12:38:02.604375,BTC,put,69600.0,2026-08-21,134.77719155,134.77719155,54.3,-0.13101492,0.00010486,-221.53187322,7.88850977,19.741,,,,71819.5,P-BTC-69600-210826
2026-08-20T12:38:02.604375,BTC,put,69400.0,2026-08-21,112.96405873,112.96405873,54.7,-0.11224997,9.303e-05,-200.91321928,7.07677995,17.071,,,,71819.5,P-BTC-69400-210826
2026-08-20T12:38:02.604375,BTC,put,69200.0,2026-08-21,96.93167234,96.93167234,55.6,-0.09732303,8.269e-05,-183.8357815,6.38180626,5.068,,,,71819.5,P-BTC-69200-210826
2026-08-20T12:38:02.604375,BTC,put,69000.0,2026-08-21,83.59242309,83.59242309,56.5,-0.08463582,7.333e-05,-168.48541419,5.75350113,36.778,,,,71819.5,P-BTC-69000-210826
2026-08-20T12:38:02.604375,BTC,put,68800.0,2026-08-21,72.3026935,72.3026935,57.5,-0.07439423,6.533e-05,-155.55450805,5.21796121,6.143,,,,71819.5,P-BTC-68800-210826
2026-08-20T12:38:02.604375,BTC,put,68600.0,2026-08-21,63.09706061,63.09706061,58.6,-0.06503215,5.785e-05,-142.80951175,4.70459265,9.087,,,,71819.5,P-BTC-68600-210826
2026-08-20T12:38:02.604375,BTC,put,68400.0,2026-08-21,54.92574207,54.92574207,59.7,-0.05700907,5.125e-05,-131.22415208,4.24430015,16.962,,,,71819.5,P-BTC-68400-210826
2026-08-20T12:38:02.604375,BTC,put,68200.0,2026-08-21,48.37946758,48.37946758,60.8,-0.0502849,4.547e-05,-121.23310711,3.8426471,15.94,,,,71819.5,P-BTC-68200-210826
2026-08-20T12:38:02.604375,BTC,put,68000.0,2026-08-21,42.96955403,42.96955403,62.1,-0.04452811,4.042e-05,-112.23488964,3.4859282,78.741,,,,71819.5,P-BTC-68000-210826
2026-08-20T12:38:02.604375,BTC,put,67800.0,2026-08-21,39.03278016,39.03278016,63.6,-0.04006794,3.623e-05,-105.53501575,3.20061908,9.713,,,,71819.5,P-BTC-67800-210826
2026-08-20T12:38:02.604375,BTC,put,67600.0,2026-08-21,35.38312795,35.38312795,65.1,-0.03616427,3.255e-05,-99.38254436,2.94381977,23.888,,,,71819.5,P-BTC-67600-210826
2026-08-20T12:38:02.604375,BTC,put,67400.0,2026-08-21,33.19696355,33.19696355,66.9,-0.03274549,2.926e-05,-93.9258841,2.71345979,13.402,,,,71819.5,P-BTC-67400-210826
2026-08-20T12:38:02.604375,BTC,put,67200.0,2026-08-21,30.76051932,30.76051932,68.6,-0.03028975,2.675e-05,-90.3053487,2.54386498,26.649,,,,71819.5,P-BTC-67200-210826
2026-08-20T12:38:02.604375,BTC,put,67000.0,2026-08-21,28.25448601,28.25448601,70.1,-0.02790723,2.437e-05,-86.51515728,2.37644727,154.002,,,,71819.5,P-BTC-67000-210826
