ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-08-09T14:00:43.233982,BTC,put,67200.0,2026-08-10,1974.90353479,1974.90353479,,-1.0,0.0,-0.0,0.0,0.372,,,,65225.0,P-BTC-67200-100826
2026-08-09T14:00:43.233982,BTC,put,66800.0,2026-08-10,1576.70668787,1576.70668787,25.3,-0.99020304,3.929e-05,-9.51826624,0.85549797,1.122,,,,65225.0,P-BTC-66800-100826
2026-08-09T14:00:43.233982,BTC,put,66400.0,2026-08-10,1185.27477538,1185.27477538,22.2,-0.96024293,0.00012923,-31.04900951,2.80210106,0.267,,,,65225.0,P-BTC-66400-100826
2026-08-09T14:00:43.233982,BTC,put,66200.0,2026-08-10,1000.0301689,1000.0301689,21.9,-0.91904304,0.00021713,-56.55207095,4.90209522,0.222,,,,65225.0,P-BTC-66200-100826
2026-08-09T14:00:43.233982,BTC,put,66000.0,2026-08-10,826.60408992,826.60408992,22.1,-0.85811844,0.00031413,-87.6369024,7.33976821,3.985,,,,65225.0,P-BTC-66000-100826
2026-08-09T14:00:43.233982,BTC,put,65800.0,2026-08-10,663.47842459,663.47842459,22.0,-0.78543325,0.00040402,-115.04406466,9.53709653,5.905,,,,65225.0,P-BTC-65800-100826
2026-08-09T14:00:43.233982,BTC,put,65600.0,2026-08-10,513.75922583,513.75922583,21.7,-0.69721278,0.00048387,-137.47767534,11.40940142,28.893,,,,65225.0,P-BTC-65600-100826
2026-08-09T14:00:43.233982,BTC,put,65400.0,2026-08-10,381.44901102,381.44901102,21.4,-0.59429188,0.00054155,-151.50215871,12.67126109,18.2,,,,65225.0,P-BTC-65400-100826
2026-08-09T14:00:43.233982,BTC,put,65200.0,2026-08-10,270.47807206,270.47807206,21.2,-0.48518383,0.00056169,-154.40720924,13.02796718,35.698,,,,65225.0,P-BTC-65200-100826
2026-08-09T14:00:43.233982,BTC,put,65000.0,2026-08-10,185.29189212,185.29189212,21.2,-0.37497911,0.00053267,-147.29885279,12.3912935,67.245,,,,65225.0,P-BTC-65000-100826
2026-08-09T14:00:43.233982,BTC,put,64800.0,2026-08-10,126.1883707,126.1883707,21.7,-0.27909177,0.00045962,-134.11201687,10.98307676,106.477,,,,65225.0,P-BTC-64800-100826
2026-08-09T14:00:43.233982,BTC,put,64600.0,2026-08-10,86.4604928,86.4604928,22.5,-0.20327064,0.00037243,-117.09532912,9.23805219,51.297,,,,65225.0,P-BTC-64600-100826
2026-08-09T14:00:43.233982,BTC,put,64400.0,2026-08-10,59.32986607,59.32986607,23.3,-0.14552082,0.00028888,-98.60858899,7.46632532,27.855,,,,65225.0,P-BTC-64400-100826
2026-08-09T14:00:43.233982,BTC,put,64200.0,2026-08-10,40.47667962,40.47667962,24.2,-0.10301254,0.00021841,-80.3535238,5.86047567,24.455,,,,65225.0,P-BTC-64200-100826
2026-08-09T14:00:43.233982,BTC,put,64000.0,2026-08-10,28.16924973,28.16924973,25.2,-0.07403935,0.00016356,-65.55199435,4.58049102,151.924,,,,65225.0,P-BTC-64000-100826
2026-08-09T14:00:43.233982,BTC,put,63800.0,2026-08-10,19.70125999,19.70125999,26.3,-0.05286113,0.00012076,-52.51479792,3.52283066,38.681,,,,65225.0,P-BTC-63800-100826
2026-08-09T14:00:43.233982,BTC,put,63600.0,2026-08-10,13.5551189,13.5551189,27.2,-0.03661767,8.71e-05,-40.28468744,2.62027257,102.488,,,,65225.0,P-BTC-63600-100826
2026-08-09T14:00:43.233982,BTC,put,63200.0,2026-08-10,4.98830011,4.98830011,27.9,-0.01481102,3.948e-05,-19.39808103,1.22416314,97.31,,,,65225.0,P-BTC-63200-100826
2026-08-09T14:00:43.233982,BTC,put,62800.0,2026-08-10,1.99459364,1.99459364,29.2,-0.00622491,1.773e-05,-9.49841477,0.57403418,176.007,,,,65225.0,P-BTC-62800-100826
2026-08-09T14:00:43.233982,BTC,call,67200.0,2026-08-10,8.99335815,8.99335815,28.7,0.02441304,5.824e-05,-30.75791961,1.87225576,462.066,,,,65225.0,C-BTC-67200-100826
2026-08-09T14:00:43.233982,BTC,call,66800.0,2026-08-10,10.08276687,10.08276687,24.2,0.0310493,8.421e-05,-31.76129755,2.28779387,133.542,,,,65225.0,C-BTC-66800-100826
2026-08-09T14:00:43.233982,BTC,call,66600.0,2026-08-10,12.45410106,12.45410106,22.5,0.03890731,0.00010935,-35.42614623,2.75325692,1.705,,,,65225.0,C-BTC-66600-100826
2026-08-09T14:00:43.233982,BTC,call,66400.0,2026-08-10,18.81924252,18.81924252,21.6,0.05950912,0.00015871,-48.16503672,3.86780991,108.864,,,,65225.0,C-BTC-66400-100826
2026-08-09T14:00:43.233982,BTC,call,66200.0,2026-08-10,33.60435808,33.60435808,21.5,0.09558927,0.00022966,-68.50050024,5.54839246,68.025,,,,65225.0,C-BTC-66200-100826
2026-08-09T14:00:43.233982,BTC,call,66000.0,2026-08-10,59.59928649,59.59928649,21.8,0.15329736,0.00031572,-96.7215115,7.73033634,156.762,,,,65225.0,C-BTC-66000-100826
2026-08-09T14:00:43.233982,BTC,call,65800.0,2026-08-10,96.79330161,96.79330161,21.8,0.22339928,0.00039835,-122.22133622,9.76109885,46.426,,,,65225.0,C-BTC-65800-100826
2026-08-09T14:00:43.233982,BTC,call,65600.0,2026-08-10,146.965358,146.965358,21.5,0.30822504,0.00047324,-142.80327242,11.49969457,31.844,,,,65225.0,C-BTC-65600-100826
2026-08-09T14:00:43.233982,BTC,call,65400.0,2026-08-10,214.67058387,214.67058387,21.2,0.40812884,0.00052909,-155.52565514,12.68990872,45.759,,,,65225.0,C-BTC-65400-100826
2026-08-09T14:00:43.233982,BTC,call,65200.0,2026-08-10,303.95299307,303.95299307,21.0,0.51588717,0.00054577,-158.885993,13.02679027,52.039,,,,65225.0,C-BTC-65200-100826
2026-08-09T14:00:43.233982,BTC,call,65000.0,2026-08-10,418.21891147,418.21891147,21.0,0.62157755,0.00051821,-152.2736196,12.42674105,76.649,,,,65225.0,C-BTC-65000-100826
2026-08-09T14:00:43.233982,BTC,call,64800.0,2026-08-10,559.26027263,559.26027263,21.4,0.71611403,0.00044947,-139.42050404,11.0738088,37.68,,,,65225.0,C-BTC-64800-100826
2026-08-09T14:00:43.233982,BTC,call,64600.0,2026-08-10,719.48672888,719.48672888,22.2,0.78812939,0.00036759,-124.59215297,9.46714366,10.537,,,,65225.0,C-BTC-64600-100826
