ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-09-17T14:59:09.947283,ETH,put,2900.0,2026-09-18,436.34,436.34,129.1,-1.0,0.0,-0.0,0.0,0.02,,,,2463.66,P-ETH-2900-180926
2026-09-17T14:59:09.947283,ETH,put,2800.0,2026-09-18,336.34,336.34,104.2,-1.0,0.0,-0.0,0.0,0.0,,,,2463.66,P-ETH-2800-180926
2026-09-17T14:59:09.947283,ETH,put,2750.0,2026-09-18,286.34,286.34,91.1,-1.0,0.0,-0.0,0.0,0.0,,,,2463.66,P-ETH-2750-180926
2026-09-17T14:59:09.947283,ETH,put,2650.0,2026-09-18,186.34,186.34,63.6,-1.0,0.0,-0.0,0.0,3.55,,,,2463.66,P-ETH-2650-180926
2026-09-17T14:59:09.947283,ETH,put,2600.0,2026-09-18,136.55007229,136.55007229,52.1,-0.98920956,0.00049632,-0.93307836,0.03437023,12.62,,,,2463.66,P-ETH-2600-180926
2026-09-17T14:59:09.947283,ETH,put,2580.0,2026-09-18,116.80783438,116.80783438,48.5,-0.97106019,0.00110654,-2.25026011,0.07968678,51.08,,,,2463.66,P-ETH-2580-180926
2026-09-17T14:59:09.947283,ETH,put,2560.0,2026-09-18,97.57785613,97.57785613,47.3,-0.95220763,0.00176199,-3.20676407,0.12003728,0.08,,,,2463.66,P-ETH-2560-180926
2026-09-17T14:59:09.947283,ETH,put,2550.0,2026-09-18,88.04942614,88.04942614,46.2,-0.93565444,0.00227097,-3.97887805,0.15181655,13.46,,,,2463.66,P-ETH-2550-180926
2026-09-17T14:59:09.947283,ETH,put,2540.0,2026-09-18,78.55882303,78.55882303,44.5,-0.91237395,0.00288463,-5.01576876,0.1920854,0.9,,,,2463.66,P-ETH-2540-180926
2026-09-17T14:59:09.947283,ETH,put,2520.0,2026-09-18,60.85490422,60.85490422,43.7,-0.84326855,0.00437232,-7.52397706,0.28964117,2.0,,,,2463.66,P-ETH-2520-180926
