ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-08-13T23:57:31.429482,BTC,put,70000.0,2026-08-14,6538.8,6538.8,82.4,-1.0,0.0,-0.0,0.0,1.55,,,,63461.2,P-BTC-70000-140826
2026-08-13T23:57:31.429482,BTC,put,69000.0,2026-08-14,5538.8,5538.8,71.7,-1.0,0.0,-0.0,0.0,0.107,,,,63461.2,P-BTC-69000-140826
2026-08-13T23:57:31.429482,BTC,put,68000.0,2026-08-14,4538.8,4538.8,60.7,-1.0,0.0,-0.0,0.0,0.475,,,,63461.2,P-BTC-68000-140826
2026-08-13T23:57:31.429482,BTC,put,67500.0,2026-08-14,4038.8,4038.8,55.1,-1.0,0.0,-0.0,0.0,0.111,,,,63461.2,P-BTC-67500-140826
2026-08-13T23:57:31.429482,BTC,put,67000.0,2026-08-14,3538.8,3538.8,49.3,-1.0,0.0,-0.0,0.0,0.557,,,,63461.2,P-BTC-67000-140826
2026-08-13T23:57:31.429482,BTC,put,66500.0,2026-08-14,3038.8,3038.8,43.4,-1.0,0.0,-0.0,0.0,0.706,,,,63461.2,P-BTC-66500-140826
2026-08-13T23:57:31.429482,BTC,put,66000.0,2026-08-14,2538.8,2538.8,37.4,-1.0,0.0,-0.0,0.0,1.477,,,,63461.2,P-BTC-66000-140826
2026-08-13T23:57:31.429482,BTC,put,65500.0,2026-08-14,2038.8,2038.8,31.2,-1.0,0.0,-0.0,0.0,0.815,,,,63461.2,P-BTC-65500-140826
2026-08-13T23:57:31.429482,BTC,put,65400.0,2026-08-14,1938.8,1938.8,29.9,-1.0,0.0,-0.0,0.0,0.001,,,,63461.2,P-BTC-65400-140826
2026-08-13T23:57:31.429482,BTC,put,65200.0,2026-08-14,1738.8,1738.8,27.3,-1.0,0.0,-0.0,0.0,0.111,,,,63461.2,P-BTC-65200-140826
2026-08-13T23:57:31.429482,BTC,put,65000.0,2026-08-14,1538.8,1538.8,24.7,-1.0,0.0,-0.0,0.0,27.222,,,,63461.2,P-BTC-65000-140826
2026-08-13T23:57:31.429482,BTC,put,64800.0,2026-08-14,1338.80000035,1338.80000035,22.0,-1.0,0.0,-0.0,0.0,0.237,,,,63461.2,P-BTC-64800-140826
2026-08-13T23:57:31.429482,BTC,put,64600.0,2026-08-14,1138.80003679,1138.80003679,19.3,-1.0,0.0,-1e-08,0.0,1.364,,,,63461.2,P-BTC-64600-140826
2026-08-13T23:57:31.429482,BTC,put,64500.0,2026-08-14,1039.04130414,1039.04130414,18.0,-0.9945543,3.86e-05,-6.28245985,0.3671114,5.652,,,,63461.2,P-BTC-64500-140826
2026-08-13T23:57:31.429482,BTC,put,64400.0,2026-08-14,941.04954139,941.04954139,17.2,-0.98289856,9.645e-05,-18.55002411,0.99710717,2.862,,,,63461.2,P-BTC-64400-140826
2026-08-13T23:57:31.429482,BTC,put,64200.0,2026-08-14,747.8634593,747.8634593,15.7,-0.95220033,0.00022621,-43.60240767,2.34110457,2.005,,,,63461.2,P-BTC-64200-140826
2026-08-13T23:57:31.429482,BTC,put,64000.0,2026-08-14,560.9897439,560.9897439,14.4,-0.89114607,0.00042996,-80.71161367,4.39149536,27.364,,,,63461.2,P-BTC-64000-140826
2026-08-13T23:57:31.429482,BTC,put,63800.0,2026-08-14,387.54623749,387.54623749,13.3,-0.79145469,0.00069208,-118.60084828,6.75404069,13.419,,,,63461.2,P-BTC-63800-140826
2026-08-13T23:57:31.429482,BTC,put,63600.0,2026-08-14,238.54386384,238.54386384,12.6,-0.63451124,0.00094107,-149.7208703,8.84859583,59.816,,,,63461.2,P-BTC-63600-140826
