ts,asset,type,strike,expiry,mark,mid,iv,delta,gamma,theta,vega,oi,best_bid,best_ask,spread,spot,symbol
2026-08-10T11:29:37.410748,ETH,put,2040.0,2026-08-10,120.76,120.76,91.7,-1.0,0.0,-0.0,0.0,11.0,,,,1919.24,P-ETH-2040-100826
2026-08-10T11:29:37.410748,ETH,put,2020.0,2026-08-10,100.76,100.76,78.4,-1.0,0.0,-0.0,0.0,6.11,,,,1919.24,P-ETH-2020-100826
2026-08-10T11:29:37.410748,ETH,put,2000.0,2026-08-10,80.76,80.76,64.7,-1.0,0.0,-0.0,0.0,1.82,,,,1919.24,P-ETH-2000-100826
2026-08-10T11:29:37.410748,ETH,put,1980.0,2026-08-10,60.76,60.76,50.6,-1.0,0.0,-0.0,0.0,2.01,,,,1919.24,P-ETH-1980-100826
2026-08-10T11:29:37.410748,ETH,put,1970.0,2026-08-10,50.76,50.76,43.3,-1.0,0.0,-7.7e-07,0.0,0.1,,,,1919.24,P-ETH-1970-100826
2026-08-10T11:29:37.410748,ETH,put,1960.0,2026-08-10,40.76,40.76,35.9,-0.99999986,1e-07,-0.00013823,1.1e-07,8.8,,,,1919.24,P-ETH-1960-100826
2026-08-10T11:29:37.410748,ETH,put,1950.0,2026-08-10,30.76,30.76,28.2,-1.0,0.0,-0.0,0.0,3.15,,,,1919.24,P-ETH-1950-100826
2026-08-10T11:29:37.410748,ETH,put,1940.0,2026-08-10,20.76160474,20.76160474,20.2,-0.99757736,0.0010264,-1.30508802,0.00110429,32.09,,,,1919.24,P-ETH-1940-100826
2026-08-10T11:29:37.410748,ETH,put,1930.0,2026-08-10,10.79110344,10.79110344,12.4,-0.97565362,0.01047009,-7.35866438,0.00836133,116.27,,,,1919.24,P-ETH-1930-100826
2026-08-10T11:29:37.410748,ETH,put,1920.0,2026-08-10,1.66138738,1.66138738,6.4,-0.60751599,0.12828882,-27.11108165,0.05626968,1001.42,,,,1919.24,P-ETH-1920-100826
2026-08-10T11:29:37.410748,ETH,put,1910.0,2026-08-10,0.0541743,0.0541743,9.8,-0.02911408,0.01356233,-7.65057508,0.00971399,910.47,,,,1919.24,P-ETH-1910-100826
2026-08-10T11:29:37.410748,ETH,put,1900.0,2026-08-10,0.01,0.01,14.7,-0.0037827,0.00155534,-1.92413576,0.00164884,2413.42,,,,1919.24,P-ETH-1900-100826
2026-08-10T11:29:37.410748,ETH,put,1890.0,2026-08-10,0.01,0.01,21.5,-4.338e-05,2.404e-05,-0.03177113,2.637e-05,1137.07,,,,1919.24,P-ETH-1890-100826
2026-08-10T11:29:37.410748,ETH,put,1880.0,2026-08-10,0.01,0.01,28.1,-2.2e-07,1.5e-07,-0.00021311,1.7e-07,1727.2,,,,1919.24,P-ETH-1880-100826
2026-08-10T11:29:37.410748,ETH,put,1870.0,2026-08-10,0.01,0.01,34.6,-0.0,0.0,-1e-06,0.0,901.62,,,,1919.24,P-ETH-1870-100826
2026-08-10T11:29:37.410748,ETH,put,1860.0,2026-08-10,0.01,0.01,41.0,-0.0,0.0,-0.0,0.0,1867.88,,,,1919.24,P-ETH-1860-100826
2026-08-10T11:29:37.410748,ETH,put,1840.0,2026-08-10,0.01,0.01,53.7,-0.0,0.0,-0.0,0.0,2435.3,,,,1919.24,P-ETH-1840-100826
2026-08-10T11:29:37.410748,ETH,put,1820.0,2026-08-10,0.01,0.01,66.3,-0.0,0.0,-0.0,0.0,3496.15,,,,1919.24,P-ETH-1820-100826
2026-08-10T11:29:37.410748,ETH,call,2040.0,2026-08-10,0.01,0.01,74.9,0.0,0.0,-0.0,0.0,2798.17,,,,1919.24,C-ETH-2040-100826
2026-08-10T11:29:37.410748,ETH,call,2020.0,2026-08-10,0.01,0.01,63.8,0.0,0.0,-0.0,0.0,3577.18,,,,1919.24,C-ETH-2020-100826
2026-08-10T11:29:37.410748,ETH,call,2000.0,2026-08-10,0.01,0.01,52.3,0.0,0.0,-0.0,0.0,4866.26,,,,1919.24,C-ETH-2000-100826
2026-08-10T11:29:37.410748,ETH,call,1980.0,2026-08-10,0.01,0.01,40.6,0.0,0.0,-0.0,0.0,3416.57,,,,1919.24,C-ETH-1980-100826
